"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 27 02:07:54 CEST 2023","Wed Sep 27 02:08:04 CEST 2023","10589","","tests.CartPageTests","","tests.CartPageTests","checkThatTotalAmountIsCorrect","Check the total amount for the shopping cart is correct [1] 3","Test to check the products' total amount is correct"
"passed","Wed Sep 27 02:04:13 CEST 2023","Wed Sep 27 02:04:17 CEST 2023","4526","","tests.CartPageTests","","tests.CartPageTests","checkThatUserCanCheckOutHisOrder","Check user can proceed checking out his cart","Checking that user can checkout when total price (without shipping fee) > 19"
